R.2	R.4	R.8	R.12	R.24	G.2	G.4	G.8	G.12	G.24	Rb.2	Rb.4	Rb.8	Rb.12	Rb.24	Gb.2	Gb.4	Gb.8	Gb.12	Gb.24
222	343	180	405	562	558	557	211	750	1689	67	36	45	44	550	52	34	32	33	672
74	38	49	48	518	93	45	42	51	761	64	36	46	45	553	51	35	32	34	619
123	123	84	124	566	388	369	118	412	1050	59	36	45	44	546	53	35	32	33	573
59	36	48	44	480	83	44	35	40	768	56	34	48	44	493	55	33	37	33	549
64	37	68	45	456	108	45	63	54	670	58	35	46	44	500	57	34	33	35	559
66	39	54	52	461	104	66	59	95	642	61	37	48	44	487	57	35	33	35	567
118	384	564	381	466	351	432	365	611	1088	63	38	51	45	468	57	36	35	36	535
65	39	53	45	435	70	41	45	48	541	65	39	52	45	444	55	35	36	37	497
121	458	588	399	512	355	427	379	688	1319	65	40	52	46	453	53	36	35	37	456
92	51	56	61	531	183	133	57	144	1113	71	38	45	45	537	54	35	32	33	694
215	160	144	155	538	469	349	287	646	1000	70	38	47	47	551	54	36	33	36	680
69	39	49	50	530	96	53	44	63	800	63	37	48	46	559	55	37	34	36	605
92	253	375	306	524	241	531	298	667	862	60	36	49	47	545	55	36	33	35	610
66	39	51	52	573	128	71	44	56	739	58	34	50	45	511	54	34	42	36	590
56	35	47	44	475	60	39	42	38	586	56	34	48	44	501	55	34	41	34	567
73	86	66	69	490	172	239	71	220	664	57	36	48	45	484	58	35	36	35	572
171	261	204	223	540	636	592	357	683	1320	59	39	49	45	476	58	38	35	38	614
60	40	53	47	453	67	46	43	53	652	61	39	50	45	452	56	38	35	38	578
88	53	70	74	443	209	137	98	245	582	63	41	53	46	432	56	38	36	37	503
158	517	710	495	547	482	438	405	683	2163	64	41	54	47	439	53	38	37	38	463
118	144	109	176	541	263	469	170	593	1022	71	37	45	45	523	54	35	33	33	754
108	67	86	84	522	300	316	159	318	1168	71	40	49	48	527	56	38	34	37	728
199	508	461	582	572	547	615	357	689	1692	70	41	53	52	541	56	42	37	42	694
72	38	55	52	486	98	76	63	103	806	67	38	51	49	544	57	39	36	39	658
67	38	48	47	527	70	39	35	37	730	62	37	49	48	534	56	36	34	37	654
61	37	48	46	488	66	44	37	39	663	62	36	48	46	525	55	35	36	38	650
65	36	54	51	440	111	59	49	76	798	60	34	49	44	506	55	34	38	35	633
71	47	71	72	455	194	154	132	300	595	57	36	49	45	484	57	35	36	36	591
105	107	102	88	598	287	307	199	363	886	57	38	48	46	467	57	38	35	38	622
58	38	49	45	476	61	43	37	46	528	58	38	48	45	478	56	38	35	37	625
71	56	67	55	462	126	128	92	116	695	60	40	50	45	476	56	38	35	37	529
64	44	59	48	491	70	47	63	45	640	62	40	51	46	458	52	38	35	37	530
101	51	66	67	526	184	186	107	303	982	73	37	47	46	504	53	35	34	35	779
82	40	58	53	579	112	90	71	96	976	73	42	50	50	510	55	40	35	39	796
226	571	522	651	626	630	521	369	660	2286	73	45	53	56	514	56	42	36	42	780
157	93	98	92	520	410	358	229	428	943	66	37	48	47	531	56	38	34	37	723
90	62	75	66	489	157	194	123	220	795	64	37	48	46	502	55	37	34	37	700
61	36	47	46	485	71	42	38	40	743	62	36	49	46	491	55	35	36	36	664
78	45	76	68	510	270	239	172	324	767	57	37	47	45	468	56	37	34	37	595
68	49	57	55	468	151	115	72	118	803	58	38	48	45	520	57	38	36	38	628
117	227	363	256	441	550	602	423	799	731	58	39	50	45	560	55	39	37	38	634
60	38	53	45	466	64	44	54	53	699	58	38	49	44	517	51	37	34	36	580
191	352	307	488	541	374	635	271	774	1360	76	38	49	47	502	53	36	35	36	762
83	42	59	55	497	112	91	69	103	872	74	41	49	49	514	54	39	35	39	794
88	45	58	60	506	127	82	61	110	1036	73	42	49	51	521	54	40	34	37	812
87	46	69	61	590	132	115	83	130	1188	71	39	48	49	534	54	39	34	36	829
309	161	143	173	471	575	541	348	782	1060	70	38	48	47	525	54	38	34	37	769
68	38	50	49	543	52	37	36	36	703	66	38	49	47	494	53	39	34	37	724
169	238	183	244	544	459	569	255	686	1261	63	37	50	47	481	55	39	35	36	698
72	38	52	50	462	93	63	45	79	786	60	36	50	46	481	54	38	37	37	657
